prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SUPERNOVA	pin	10121	Natura	Antonella Carranza	CORREGIDO	discrepancia 755.634 km, ROOFTOP, localidad 'ROSARIO' en geocode	755.634/ROOFTOP	3841, San Juan, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina
SUPERNOVA	pin	9332	Sancor Cooperativas Limitada	Sunchales Alem	CORREGIDO	discrepancia 710.337 km, ROOFTOP, localidad 'SUNCHALES' en geocode	710.337/ROOFTOP	35, Leandro N. Alem, Sur, Sunchales, Municipio de Sunchales, Departamento Castellanos, Santa Fe, S2322, Argentina
SUPERNOVA	pin	9334	Las Taperitas	Susana	CORREGIDO	discrepancia 399.683 km, ROOFTOP, localidad 'SUSANA' en geocode	399.683/ROOFTOP	RN34 km 214, S2301 Susana, Santa Fe, Argentina
SUPERNOVA	pin	7679	Telecom Argentina	Central Telecom Carcaraña	CORREGIDO	discrepancia 330.282 km, ROOFTOP, localidad 'CARCARAÑA' en geocode	330.282/ROOFTOP	1341, Avenida Belgrano, Centro, Carcarañá, Municipio de Carcarañá, Departamento San Lorenzo, Santa Fe, S2138, Argentina
SUPERNOVA	pin	7465	Telecom Argentina	Edificio Rosario Sur	CORREGIDO	discrepancia 147.167 km, ROOFTOP, localidad 'ROSARIO' en geocode	147.167/ROOFTOP	2364, José de San Martín, Paseo Pellegrini, Abasto, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	pin	5932	Banco Santander Río	543 - VILLA GOBERNADOR GALVEZ	CORREGIDO	discrepancia 126.019 km, ROOFTOP, localidad 'VILLA GOBERNADOR GALVEZ' en geocode	126.019/ROOFTOP	2435, Avenida San Martín, Centro, Villa Gobernador Gálvez, Municipio de Villa Gobernador Gálvez, Gran Rosario, Departamento Rosario, Santa Fe, S2124, Argentina
SUPERNOVA	pin	13653	Dia %	Tienda 5169 Ramallo	CORREGIDO	discrepancia 86.733 km, ROOFTOP, localidad 'RAMALLO' en geocode	86.733/ROOFTOP	Av. Gral. San Martín 1345, B2915 Ramallo, Provincia de Buenos Aires, Argentina
SUPERNOVA	pin	13777	Dia %	Tienda 5274 Ramallo	CORREGIDO	discrepancia 60.112 km, ROOFTOP, localidad 'RAMALLO' en geocode	60.112/ROOFTOP	Domingo Faustino Sarmiento 937, B2915 Ramallo, Provincia de Buenos Aires, Argentina
BAHIA	pin	7151	Diarco	Bahia Blanca	CORREGIDO	discrepancia 10234.083 km, ROOFTOP, localidad 'BAHIA BLANCA' en geocode	10234.083/ROOFTOP	Av. Colón 2621, B8000 Bahía Blanca, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	5784	Banco Santander Río	376 - SALTO	CORREGIDO	discrepancia 163.607 km, ROOFTOP, localidad 'SALTO' en geocode	163.607/ROOFTOP	Buenos Aires 383, B2741 Salto, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	13766	Dia %	Tienda 5219 Arrecifes	CORREGIDO	discrepancia 61.586 km, ROOFTOP, localidad 'ARRECIFES' en geocode	61.586/ROOFTOP	Av. Dr. Carlos Merlassino 2, B2740 Arrecifes, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	13715	Dia %	Tienda 0243 Arrecifes	CORREGIDO	discrepancia 61.526 km, ROOFTOP, localidad 'ARRECIFES' en geocode	61.526/ROOFTOP	Ricardo Gutiérrez 435, B2740 Arrecifes, Provincia de Buenos Aires, Argentina
JUNIN	pin	3867	Calico	Junin	CORREGIDO	discrepancia 527.055 km, ROOFTOP, localidad 'JUNIN' en geocode	527.055/ROOFTOP	Ramon Hernandez 1059, B6000 Junín, Provincia de Buenos Aires, Argentina
INFOMAC	pin	8157	ISSN	Delegacion ISSN Centenario	CORREGIDO	discrepancia 11157.424 km, ROOFTOP, localidad 'CENTENARIO' en geocode	11157.424/ROOFTOP	Canadá 525, Q8309 Centenario, Neuquén, Argentina
INFOMAC	pin	11867	Bodega del Desierto	La Pampa (Bodega)	CORREGIDO	discrepancia 1137.102 km, ROOFTOP, localidad '25 DE MAYO' en geocode	1137.102/ROOFTOP	Av. Sta. Rosa 1188, L8201 25 de Mayo, La Pampa, Argentina
INFOMAC	pin	11852	Generación Mediterránea	LA PAMPA (BODEGA)	CORREGIDO	discrepancia 1137.102 km, ROOFTOP, localidad '25 DE MAYO' en geocode	1137.102/ROOFTOP	Av. Sta. Rosa 1188, L8201 25 de Mayo, La Pampa, Argentina
INFOMAC	pin	444	Galeno	Sucursal Santa Rosa- La Pampa	CORREGIDO	discrepancia 683.214 km, ROOFTOP, localidad 'SANTA ROSA' en geocode	683.214/ROOFTOP	Av. San Martín 299, L6300 Santa Rosa, La Pampa, Argentina
INFOMAC	pin	7160	Diarco	9 de Julio	CORREGIDO	discrepancia 410.043 km, ROOFTOP, localidad '9 DE JULIO' en geocode	410.043/ROOFTOP	RN5 km. 262, B6500 9 de Julio, Provincia de Buenos Aires, Argentina
INFOMAC	pin	13943	Dia %	Tienda 5611 Florentino Ameghino	CORREGIDO	discrepancia 355.706 km, ROOFTOP, localidad 'FLORENTINO AMEGHINO' en geocode	355.706/ROOFTOP	Sarmiento 736, B6064 Florentino Ameghino, Provincia de Buenos Aires, Argentina
INFOMAC	pin	13661	Dia %	Tienda 0651 Mercedes	CORREGIDO	discrepancia 81.201 km, ROOFTOP, localidad 'MERCEDES' en geocode	81.201/ROOFTOP	San Martín 2300, W3470 Mercedes, Corrientes, Argentina
INFOMAC	pin	13666	Dia %	Tienda 1073 Mercedes	CORREGIDO	discrepancia 69.018 km, ROOFTOP, localidad 'MERCEDES' en geocode	69.018/ROOFTOP	San Martín 1240, W3470 Mercedes, Corrientes, Argentina
INFOMAC	pin	13658	Dia %	Tienda 0575 Curuzu Cuatia	CORREGIDO	discrepancia 64.197 km, ROOFTOP, localidad 'CURUZU CUATIA' en geocode	64.197/ROOFTOP	Uruguay 1470, W3460 Curuzú Cuatiá, Corrientes, Argentina
SUPERNOVA	pin	11476	Generación Mediterránea	ARROYO SECO	CORREGIDO	discrepancia 9884.937 km, ROOFTOP, localidad 'ARROYO SECO' en geocode	9884.937/ROOFTOP	Playa Hermosa, Piriapolis 100, S2128 Arroyo Seco, Santa Fe, Argentina
SUPERNOVA	pin	9707	Gefco	Maria Eugenia Marquez	CORREGIDO	discrepancia 765.582 km, ROOFTOP, localidad 'ROSARIO' en geocode	765.582/ROOFTOP	1292, Mendoza, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	pin	7110	Banco Credicoop	516 - Echesortu	CORREGIDO	discrepancia 762.878 km, ROOFTOP, localidad 'ROSARIO' en geocode	762.878/ROOFTOP	Mendoza 3430, S2002PCF Rosario, Santa Fe, Argentina
SUPERNOVA	pin	10121	Natura	Antonella Carranza	CORREGIDO	discrepancia 755.634 km, ROOFTOP, localidad 'ROSARIO' en geocode	755.634/ROOFTOP	3841, San Juan, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina
SUPERNOVA	pin	9332	Sancor Cooperativas Limitada	Sunchales Alem	CORREGIDO	discrepancia 710.337 km, ROOFTOP, localidad 'SUNCHALES' en geocode	710.337/ROOFTOP	35, Leandro N. Alem, Sur, Sunchales, Municipio de Sunchales, Departamento Castellanos, Santa Fe, S2322, Argentina
SUPERNOVA	pin	9334	Las Taperitas	Susana	CORREGIDO	discrepancia 399.683 km, ROOFTOP, localidad 'SUSANA' en geocode	399.683/ROOFTOP	RN34 km 214, S2301 Susana, Santa Fe, Argentina
SUPERNOVA	pin	7679	Telecom Argentina	Central Telecom Carcaraña	CORREGIDO	discrepancia 330.282 km, ROOFTOP, localidad 'CARCARAÑA' en geocode	330.282/ROOFTOP	1341, Avenida Belgrano, Centro, Carcarañá, Municipio de Carcarañá, Departamento San Lorenzo, Santa Fe, S2138, Argentina
SUPERNOVA	pin	7465	Telecom Argentina	Edificio Rosario Sur	CORREGIDO	discrepancia 147.167 km, ROOFTOP, localidad 'ROSARIO' en geocode	147.167/ROOFTOP	2364, José de San Martín, Paseo Pellegrini, Abasto, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	pin	5932	Banco Santander Río	543 - VILLA GOBERNADOR GALVEZ	CORREGIDO	discrepancia 126.019 km, ROOFTOP, localidad 'VILLA GOBERNADOR GALVEZ' en geocode	126.019/ROOFTOP	2435, Avenida San Martín, Centro, Villa Gobernador Gálvez, Municipio de Villa Gobernador Gálvez, Gran Rosario, Departamento Rosario, Santa Fe, S2124, Argentina
SUPERNOVA	pin	13653	Dia %	Tienda 5169 Ramallo	CORREGIDO	discrepancia 86.733 km, ROOFTOP, localidad 'RAMALLO' en geocode	86.733/ROOFTOP	Av. Gral. San Martín 1345, B2915 Ramallo, Provincia de Buenos Aires, Argentina
SUPERNOVA	pin	13777	Dia %	Tienda 5274 Ramallo	CORREGIDO	discrepancia 60.112 km, ROOFTOP, localidad 'RAMALLO' en geocode	60.112/ROOFTOP	Domingo Faustino Sarmiento 937, B2915 Ramallo, Provincia de Buenos Aires, Argentina
BAHIA	pin	7151	Diarco	Bahia Blanca	CORREGIDO	discrepancia 10234.083 km, ROOFTOP, localidad 'BAHIA BLANCA' en geocode	10234.083/ROOFTOP	Av. Colón 2621, B8000 Bahía Blanca, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	5784	Banco Santander Río	376 - SALTO	CORREGIDO	discrepancia 163.607 km, ROOFTOP, localidad 'SALTO' en geocode	163.607/ROOFTOP	Buenos Aires 383, B2741 Salto, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	13766	Dia %	Tienda 5219 Arrecifes	CORREGIDO	discrepancia 61.586 km, ROOFTOP, localidad 'ARRECIFES' en geocode	61.586/ROOFTOP	Av. Dr. Carlos Merlassino 2, B2740 Arrecifes, Provincia de Buenos Aires, Argentina
PERGAMINO	pin	13715	Dia %	Tienda 0243 Arrecifes	CORREGIDO	discrepancia 61.526 km, ROOFTOP, localidad 'ARRECIFES' en geocode	61.526/ROOFTOP	Ricardo Gutiérrez 435, B2740 Arrecifes, Provincia de Buenos Aires, Argentina
JUNIN	pin	3867	Calico	Junin	CORREGIDO	discrepancia 527.055 km, ROOFTOP, localidad 'JUNIN' en geocode	527.055/ROOFTOP	Ramon Hernandez 1059, B6000 Junín, Provincia de Buenos Aires, Argentina
INFOMAC	pin	8157	ISSN	Delegacion ISSN Centenario	CORREGIDO	discrepancia 11157.424 km, ROOFTOP, localidad 'CENTENARIO' en geocode	11157.424/ROOFTOP	Canadá 525, Q8309 Centenario, Neuquén, Argentina
INFOMAC	pin	11867	Bodega del Desierto	La Pampa (Bodega)	CORREGIDO	discrepancia 1137.102 km, ROOFTOP, localidad '25 DE MAYO' en geocode	1137.102/ROOFTOP	Av. Sta. Rosa 1188, L8201 25 de Mayo, La Pampa, Argentina
INFOMAC	pin	11852	Generación Mediterránea	LA PAMPA (BODEGA)	CORREGIDO	discrepancia 1137.102 km, ROOFTOP, localidad '25 DE MAYO' en geocode	1137.102/ROOFTOP	Av. Sta. Rosa 1188, L8201 25 de Mayo, La Pampa, Argentina
INFOMAC	pin	444	Galeno	Sucursal Santa Rosa- La Pampa	CORREGIDO	discrepancia 683.214 km, ROOFTOP, localidad 'SANTA ROSA' en geocode	683.214/ROOFTOP	Av. San Martín 299, L6300 Santa Rosa, La Pampa, Argentina
INFOMAC	pin	7160	Diarco	9 de Julio	CORREGIDO	discrepancia 410.043 km, ROOFTOP, localidad '9 DE JULIO' en geocode	410.043/ROOFTOP	RN5 km. 262, B6500 9 de Julio, Provincia de Buenos Aires, Argentina
INFOMAC	pin	13943	Dia %	Tienda 5611 Florentino Ameghino	CORREGIDO	discrepancia 355.706 km, ROOFTOP, localidad 'FLORENTINO AMEGHINO' en geocode	355.706/ROOFTOP	Sarmiento 736, B6064 Florentino Ameghino, Provincia de Buenos Aires, Argentina
INFOMAC	pin	13661	Dia %	Tienda 0651 Mercedes	CORREGIDO	discrepancia 81.201 km, ROOFTOP, localidad 'MERCEDES' en geocode	81.201/ROOFTOP	San Martín 2300, W3470 Mercedes, Corrientes, Argentina
INFOMAC	pin	13666	Dia %	Tienda 1073 Mercedes	CORREGIDO	discrepancia 69.018 km, ROOFTOP, localidad 'MERCEDES' en geocode	69.018/ROOFTOP	San Martín 1240, W3470 Mercedes, Corrientes, Argentina
INFOMAC	pin	13658	Dia %	Tienda 0575 Curuzu Cuatia	CORREGIDO	discrepancia 64.197 km, ROOFTOP, localidad 'CURUZU CUATIA' en geocode	64.197/ROOFTOP	Uruguay 1470, W3460 Curuzú Cuatiá, Corrientes, Argentina
MENDOZA	pin	7053	Banco Credicoop	316 - Morandini	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	9358.408 km / ROOFTOP	Av. San Martín 1099, M5501 Godoy Cruz, Mendoza, Argentina
MENDOZA	pin	4813	Pago Facil	San Martin (Mendoza)	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	1065.785 km / ROOFTOP	43, Las Heras, Distrito Ciudad de San Martín, Departamento San Martín, Mendoza, 5570, Argentina
MENDOZA	pin	6189	Garbarino	Sucursal Virtual Mixta Mendoza San Martin	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	737.217 km / ROOFTOP	Garbarino, 154, 9 de Julio, Distrito Ciudad de San Martín, Departamento San Martín, Mendoza, M5570, Argentina
MENDOZA	pin	2557	JRASA	SM 545 Tupungato (SUCURSAL INACTIVA)	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	60.899 km / ROOFTOP	140, 9 de Julio, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina
MENDOZA	pin	4815	Pago Facil	Carrefour Tupungato	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	59.596 km / ROOFTOP	1170, Avenida Belgrano, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina
SM TUCUMAN	pin	5856	Banco Santander Río	449 - CONCEPCION DE TUCUMAN	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	70.592 km / ROOFTOP	Santander, 62, 9 de Julio, Independencia, Concepción, Departamento Chicligasta, Tucumán, 4146, Argentina
CDU	pin	10619	AMI MUSIC	A07 - DASH Concordia	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	161.7 km / ROOFTOP	Entre Ríos 878, E3202 Concordia, Entre Ríos, Argentina
CDU	pin	13688	Dia %	Tienda 0305 Gualeguaychu	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	78.294 km / ROOFTOP	Rivadavia 590, E2820 Gualeguaychú, Entre Ríos, Argentina
CDU	pin	13957	Dia %	Tienda 6063 Gualeguaychu	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	76.589 km / ROOFTOP	Blvd. Antonio Daneri 65, E3269 Gualeguaychú, Entre Ríos, Argentina
SAN RAFAEL	pin	5738	Banco Santander Río	262 - SAN RAFAEL-MENDOZA	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	72.99 km / ROOFTOP	Dr. Carlos Pellegrini 270, M5602CHN San Rafael, Mendoza, Argentina
VIEDMA	pin	4491	Nativa	Viedma	CORREGIDO	cumple las 3 condiciones (>=50 km, ROOFTOP, localidad coincide)	779.179 km / ROOFTOP	ADC, Alsina 411, R8500 Viedma, Río Negro, Argentina
MENDOZA	pin	7053	Banco Credicoop	316 - Morandini	CORREGIDO	[DRY] cumple las 3 condiciones	9358.408 km / ROOFTOP	Av. San Martín 1099, M5501 Godoy Cruz, Mendoza, Argentina
MENDOZA	pin	4813	Pago Facil	San Martin (Mendoza)	CORREGIDO	[DRY] cumple las 3 condiciones	1065.785 km / ROOFTOP	43, Las Heras, Distrito Ciudad de San Martín, Departamento San Martín, Mendoza, 5570, Argentina
MENDOZA	pin	6189	Garbarino	Sucursal Virtual Mixta Mendoza San Martin	CORREGIDO	[DRY] cumple las 3 condiciones	737.217 km / ROOFTOP	Garbarino, 154, 9 de Julio, Distrito Ciudad de San Martín, Departamento San Martín, Mendoza, M5570, Argentina
MENDOZA	pin	2557	JRASA	SM 545 Tupungato (SUCURSAL INACTIVA)	CORREGIDO	[DRY] cumple las 3 condiciones	60.899 km / ROOFTOP	140, 9 de Julio, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina
MENDOZA	pin	4815	Pago Facil	Carrefour Tupungato	CORREGIDO	[DRY] cumple las 3 condiciones	59.596 km / ROOFTOP	1170, Avenida Belgrano, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina
SM TUCUMAN	pin	5856	Banco Santander Río	449 - CONCEPCION DE TUCUMAN	CORREGIDO	[DRY] cumple las 3 condiciones	70.592 km / ROOFTOP	Santander, 62, 9 de Julio, Independencia, Concepción, Departamento Chicligasta, Tucumán, 4146, Argentina
CDU	pin	10619	AMI MUSIC	A07 - DASH Concordia	CORREGIDO	[DRY] cumple las 3 condiciones	161.7 km / ROOFTOP	Entre Ríos 878, E3202 Concordia, Entre Ríos, Argentina
CDU	pin	13688	Dia %	Tienda 0305 Gualeguaychu	CORREGIDO	[DRY] cumple las 3 condiciones	78.294 km / ROOFTOP	Rivadavia 590, E2820 Gualeguaychú, Entre Ríos, Argentina
CDU	pin	13957	Dia %	Tienda 6063 Gualeguaychu	CORREGIDO	[DRY] cumple las 3 condiciones	76.589 km / ROOFTOP	Blvd. Antonio Daneri 65, E3269 Gualeguaychú, Entre Ríos, Argentina
SAN RAFAEL	pin	5738	Banco Santander Río	262 - SAN RAFAEL-MENDOZA	CORREGIDO	[DRY] cumple las 3 condiciones	72.99 km / ROOFTOP	Dr. Carlos Pellegrini 270, M5602CHN San Rafael, Mendoza, Argentina
VIEDMA	pin	4491	Nativa	Viedma	CORREGIDO	[DRY] cumple las 3 condiciones	779.179 km / ROOFTOP	ADC, Alsina 411, R8500 Viedma, Río Negro, Argentina
MACARONE	pin	11247	Pedidos Ya	AR_57_PARANA	CORREGIDO	cumple A1-A3	9772.765	Macro, Av. Francisco Ramírez 2613, E3100 Paraná, Entre Ríos, Argentina
MACARONE	pin	8083	Telecom Argentina	San Martin 749	CORREGIDO	cumple A1-A3	776.852	749, San Martín, San Carlos Centro, Municipio de San Carlos Centro, Departamento Las Colonias, Santa Fe, S3013, Argentina
MACARONE	pin	13612	Dia %	Tienda 0609 Paraná	CORREGIDO	cumple A1-A3	667.141	Leandro N. Alem 224, E3100 Paraná, Entre Ríos, Argentina
MACARONE	pin	8555	Banco Bice	Paraná	CORREGIDO	cumple A1-A3	376.857	60, Buenos Aires, Barrio Centro, Paraná, Municipio de Paraná, Distrito Sauce, Departamento Paraná, Entre Ríos, 3100, Argentina
MACARONE	pin	5805	Banco Santander Río	397 - VICTORIA - ENTRE RIOS	CORREGIDO	cumple A1-A3	295.86	Ezpeleta 76, E3153 Victoria, Entre Ríos, Argentina
MACARONE	pin	7436	Telecom Argentina	Central Telecom San Justo	CORREGIDO	cumple A1-A3	96.252	2277, 9 de julio, San Justo, Municipio de San Justo, Departamento San Justo, Santa Fe, S3040AGI, Argentina
MACARONE	pin	7455	Telecom Argentina	Central Telecom Villaguay	CORREGIDO	cumple A1-A3	92.504	234, Colón, Villaguay, Distrito Lucas al Sud, Departamento Villaguay, Entre Ríos, 3240, Argentina
MACARONE	pin	13597	Dia %	Tienda 0442 Viale	CORREGIDO	cumple A1-A3	79.699	9 de Julio 600, E3109 Viale, Entre Ríos, Argentina
MACARONE	pin	13627	Dia %	Tienda 1516 Diamante	CORREGIDO	cumple A1-A3	69.835	San Martín 484, E3105 Diamante, Entre Ríos, Argentina
MACARONE	coord	4792	Efectivo Si	EFECTIVO SI - Santa Fe	ELEGIDO 0	único ROOFTOP exacto en la localidad	0:ROOFTOP,1:ROOFTOP,2:ROOFTOP,3:ROOFTOP,4:ROOFTOP	2498, San Martín, Centro, Santa Fe, Santa Fe Capital, Departamento La Capital, Santa Fe, S3000, Argentina
