prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
PENTACOM	coord	3964	OCA	GRAN CORDOBA	DEJADO	varios ROOFTOP exactos en 'CORDOBA' (idx [2, 3])	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	"550, Miguel de Cervantes, Villa  de Emergencia  ""Los Galpones"", Alta Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5001, Argentina | 550, Alejandro Magariños Cervantes, General Bustos, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5001, Argentina"
PENTACOM	coord	3702	OCA	Operador Córdoba	DEJADO	varios ROOFTOP exactos en 'CORDOBA' (idx [2, 3])	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	"550, Miguel de Cervantes, Villa  de Emergencia  ""Los Galpones"", Alta Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5001, Argentina | 550, Alejandro Magariños Cervantes, General Bustos, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5001, Argentina"
PENTACOM	coord	4052	OCA	SAVANTH PHARMA	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
PENTACOM	coord	6326	Praxair Argentina SRL	Córdoba	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (1 ROOFTOP de 2 candidatos, estado ambigua)	ROOFTOP/pm,GEOMETRIC_CENTER/pm	Av. Cjal. Felipe Belardinelli 4685, X5016 Córdoba, Argentina
PENTACOM	coord	955	Salta Refrescos ATANOR	Ingenio Marapa	DEJADO	sin candidatos (estado sin_direccion)	sin candidatos	
PENTACOM	coord	1046	Sancor Cooperativas Limitada	Córdoba - Concesionario ABRATTE	DEJADO	varios ROOFTOP exactos en 'VILLA CARLOS PAZ' (idx [0, 1])	ROOFTOP,ROOFTOP	1823, Avenida San Martín, Altos de las Vertientes, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, 5152, Argentina | 1823, Avenida San Martín, Costa Azul Sur, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, 5152, Argentina
PENTACOM	coord	606	Sancor Cooperativas Limitada	Córdoba - Concesionario LUDUEÑA	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
PENTACOM	coord	1045	Sancor Cooperativas Limitada	Villa Vaudagna	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
PENTACOM	coord	4130	Saputo	Tio Pujio	DEJADO	ningún ROOFTOP exacto en 'TIO PUJIO' (0 ROOFTOP de 1 candidatos, estado ambigua)	APPROXIMATE/pm	Tío Pujio, Córdoba Province, Argentina
SUPERNOVA	coord	4311	Arcos Dorados (Mc Donalds)	CFR - Alto Rosario Shopping (191)	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (1 candidatos: GEOMETRIC_CENTER)	GEOMETRIC_CENTER	Junín 501, S2000 Rosario, Santa Fe, Argentina
SUPERNOVA	coord	4312	Arcos Dorados (Mc Donalds)	CPR - Club Provincial Rosario (192)	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4459	Arcos Dorados (Mc Donalds)	Rosario	DEJADO	4 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP	Shopping del Siglo, 1643, Córdoba, Paseo del Siglo, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000AWY, Argentina
SUPERNOVA	coord	3620	Assist Card	Implant (CABA)	DEJADO	2 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP	816, Peatonal San Martín, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	coord	6737	Banco Santander Río	Oficina de Transición de Sanford	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4985	Calico	Rosario 2	DEJADO	2 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP	7640, Avenida Presidente Perón, Distrito Industrial Presidente Perón, Godoy, Distrito Oeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
SUPERNOVA	coord	5174	Celsur Logistica S.A.	Planta GM Rosario - Porteria Celsur	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4780	Efectivo Si	EFECTIVO SI - Rosario II	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (5 candidatos: GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial	Avenida José de San Martín, Presidente Roque Saenz Peña, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
SUPERNOVA	coord	4786	Efectivo Si	EFECTIVO SI - San Lorenzo	DEJADO	ningún candidato ROOFTOP exacto en 'SAN LORENZO' (1 candidatos: GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial	San Martín, San Lorenzo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, Argentina
SUPERNOVA	coord	4041	Galeno - COLONOS	Sucursal Rosario- Santa Fe  ART	DEJADO	3 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP	1556, Salta, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	coord	3413	Nutrien	Depòsito Portuario (Ponal Group)	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	3242	Nutrien	Sucursal Timbues	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	5222	Quickfood S.A.	Arroyo Seco	DEJADO	ningún candidato ROOFTOP exacto en 'ARROYO SECO' (1 candidatos: RANGE_INTERPOLATED/partial)	RANGE_INTERPOLATED/partial	Salk 945, S2128 Arroyo Seco, Santa Fe, Argentina
SUPERNOVA	coord	8512	Quickfood S.A.	Pueblo Esther	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4887	Sancor Cooperativas Limitada	Hostal del Sol	DEJADO	5 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP	1501 A, Perú, Belgrano, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2008, Argentina
SUPERNOVA	coord	8539	Solanas	Rosario II	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (1 candidatos: GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial	Madres Plaza 25 de Mayo, Puerto Norte, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
INFOMAC	coord	4580	Manpower	Bariloche	DEJADO	ningún candidato ROOFTOP exacto en 'SAN CARLOS DE BARILOCHE' (1 candidatos: ROOFTOP/partial)	ROOFTOP/partial	Mitre 265, R8400 San Carlos de Bariloche, Río Negro, Argentina
INFOMAC	coord	3785	Molino Cañuelas	Villa Mercedes	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4311	Arcos Dorados (Mc Donalds)	CFR - Alto Rosario Shopping (191)	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (1 candidatos: GEOMETRIC_CENTER)	GEOMETRIC_CENTER	Junín 501, S2000 Rosario, Santa Fe, Argentina
SUPERNOVA	coord	4312	Arcos Dorados (Mc Donalds)	CPR - Club Provincial Rosario (192)	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4459	Arcos Dorados (Mc Donalds)	Rosario	DEJADO	4 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP	Shopping del Siglo, 1643, Córdoba, Paseo del Siglo, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000AWY, Argentina
SUPERNOVA	coord	3620	Assist Card	Implant (CABA)	DEJADO	2 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP	816, Peatonal San Martín, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	coord	6737	Banco Santander Río	Oficina de Transición de Sanford	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4985	Calico	Rosario 2	DEJADO	2 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP	7640, Avenida Presidente Perón, Distrito Industrial Presidente Perón, Godoy, Distrito Oeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
SUPERNOVA	coord	5174	Celsur Logistica S.A.	Planta GM Rosario - Porteria Celsur	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4780	Efectivo Si	EFECTIVO SI - Rosario II	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (5 candidatos: GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial;GEOMETRIC_CENTER/partial	Avenida José de San Martín, Presidente Roque Saenz Peña, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
SUPERNOVA	coord	4786	Efectivo Si	EFECTIVO SI - San Lorenzo	DEJADO	ningún candidato ROOFTOP exacto en 'SAN LORENZO' (1 candidatos: GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial	San Martín, San Lorenzo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, Argentina
SUPERNOVA	coord	4041	Galeno - COLONOS	Sucursal Rosario- Santa Fe  ART	DEJADO	3 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP	1556, Salta, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	coord	3413	Nutrien	Depòsito Portuario (Ponal Group)	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	3242	Nutrien	Sucursal Timbues	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	5222	Quickfood S.A.	Arroyo Seco	DEJADO	ningún candidato ROOFTOP exacto en 'ARROYO SECO' (1 candidatos: RANGE_INTERPOLATED/partial)	RANGE_INTERPOLATED/partial	Salk 945, S2128 Arroyo Seco, Santa Fe, Argentina
SUPERNOVA	coord	8512	Quickfood S.A.	Pueblo Esther	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
SUPERNOVA	coord	4887	Sancor Cooperativas Limitada	Hostal del Sol	DEJADO	5 candidatos ROOFTOP en 'ROSARIO', ambiguo	ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP;ROOFTOP	1501 A, Perú, Belgrano, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2008, Argentina
SUPERNOVA	coord	8539	Solanas	Rosario II	DEJADO	ningún candidato ROOFTOP exacto en 'ROSARIO' (1 candidatos: GEOMETRIC_CENTER/partial)	GEOMETRIC_CENTER/partial	Madres Plaza 25 de Mayo, Puerto Norte, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina
INFOMAC	coord	4580	Manpower	Bariloche	DEJADO	ningún candidato ROOFTOP exacto en 'SAN CARLOS DE BARILOCHE' (1 candidatos: ROOFTOP/partial)	ROOFTOP/partial	Mitre 265, R8400 San Carlos de Bariloche, Río Negro, Argentina
INFOMAC	coord	3785	Molino Cañuelas	Villa Mercedes	DEJADO	estado sin_resultados, sin candidatos	sin_resultados	
MENDOZA	coord	6004	Banco Santander Río	546 -Tunuyán	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'TUNUYAN'	[0] GEOMETRIC_CENTER/pm=True/trunk,road; [1] GEOMETRIC_CENTER/pm=True/trunk,road; [2] GEOMETRIC_CENTER/pm=True/trunk,road; [3] GEOMETRIC_CENTER/pm=True/trunk,road	
MENDOZA	coord	6457	Banco Santander Río	709 - CITIBANK - Palmares	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MENDOZA'	[0] ROOFTOP/pm=False/mall,shop; [1] ROOFTOP/pm=False/mobile_phone,shop; [2] ROOFTOP/pm=False/bank,amenity; [3] ROOFTOP/pm=False/ice_cream,amenity; [4] ROOFTOP/pm=False/fast_food,amenity	
MENDOZA	coord	3465	Cepas Argentinas	Viniterra	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'LUJAN DE CUYO'	[0] GEOMETRIC_CENTER/pm=True/motorway,road; [1] GEOMETRIC_CENTER/pm=True/motorway,road; [2] GEOMETRIC_CENTER/pm=True/motorway,road	
MENDOZA	coord	6238	Efectivo Si	EFECTIVO SI - Hiper Libertad  Godoy Cruz ( Mendoza )	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	3873	Galeno - COLONOS	Centro Medico Mendoza(NO USAR)	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	4455	Galeno - COLONOS	Guaymallen	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	6395	Peñaflor	Navarro Correas - Agrelo	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'LUJAN DE CUYO'	[0] GEOMETRIC_CENTER/pm=True/route	
MENDOZA	coord	1540	Peñaflor - BVA	Maipú	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MAIPU'	[0] APPROXIMATE/pm=True/locality,political	
MENDOZA	coord	6334	Praxair Argentina SRL	Mendoza	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MENDOZA'	[0] GEOMETRIC_CENTER/pm=True/route	
SM TUCUMAN	coord	4799	Efectivo Si	EFECTIVO SI - Tucuman II	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN MIGUEL DE TUCUMAN'	[0] GEOMETRIC_CENTER/pm=True/quarter,quarter	
SM TUCUMAN	coord	4048	Galeno - COLONOS	Sucursal Tucuman- ART	DEJADO	varios candidatos ROOFTOP en localidad 'SAN MIGUEL DE TUCUMAN': idx [0, 1]	[0] ROOFTOP/pm=False/house,place; [1] ROOFTOP/pm=False/house,place	
LA RIOJA	coord	4102	Canale	Valle Viejo	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN FDO DEL VALLE DE CATAMARCA'	[0] GEOMETRIC_CENTER/pm=False/route	
LA RIOJA	coord	7709	Citrusvil S.A.	San Pedro de Guasayan	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SANTA ROSA'	[0] APPROXIMATE/pm=True/locality,political	
LA RIOJA	coord	5503	Pago Facil	Chango Mas Catamarca	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN FDO DEL VALLE DE CATAMARCA'	[0] GEOMETRIC_CENTER/pm=True/route	
MENDOZA	coord	6004	Banco Santander Río	546 -Tunuyán	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'TUNUYAN'	[0] GEOMETRIC_CENTER/pm=True/trunk,road; [1] GEOMETRIC_CENTER/pm=True/trunk,road; [2] GEOMETRIC_CENTER/pm=True/trunk,road; [3] GEOMETRIC_CENTER/pm=True/trunk,road	
MENDOZA	coord	6457	Banco Santander Río	709 - CITIBANK - Palmares	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MENDOZA'	[0] ROOFTOP/pm=False/mall,shop; [1] ROOFTOP/pm=False/mobile_phone,shop; [2] ROOFTOP/pm=False/bank,amenity; [3] ROOFTOP/pm=False/ice_cream,amenity; [4] ROOFTOP/pm=False/fast_food,amenity	
MENDOZA	coord	3465	Cepas Argentinas	Viniterra	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'LUJAN DE CUYO'	[0] GEOMETRIC_CENTER/pm=True/motorway,road; [1] GEOMETRIC_CENTER/pm=True/motorway,road; [2] GEOMETRIC_CENTER/pm=True/motorway,road	
MENDOZA	coord	6238	Efectivo Si	EFECTIVO SI - Hiper Libertad  Godoy Cruz ( Mendoza )	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	3873	Galeno - COLONOS	Centro Medico Mendoza(NO USAR)	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	4455	Galeno - COLONOS	Guaymallen	DEJADO	sin candidatos (estado=sin_resultados)		
MENDOZA	coord	6395	Peñaflor	Navarro Correas - Agrelo	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'LUJAN DE CUYO'	[0] GEOMETRIC_CENTER/pm=True/route	
MENDOZA	coord	1540	Peñaflor - BVA	Maipú	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MAIPU'	[0] APPROXIMATE/pm=True/locality,political	
MENDOZA	coord	6334	Praxair Argentina SRL	Mendoza	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'MENDOZA'	[0] GEOMETRIC_CENTER/pm=True/route	
SM TUCUMAN	coord	4799	Efectivo Si	EFECTIVO SI - Tucuman II	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN MIGUEL DE TUCUMAN'	[0] GEOMETRIC_CENTER/pm=True/quarter,quarter	
SM TUCUMAN	coord	4048	Galeno - COLONOS	Sucursal Tucuman- ART	DEJADO	varios candidatos ROOFTOP en localidad 'SAN MIGUEL DE TUCUMAN': idx [0, 1]	[0] ROOFTOP/pm=False/house,place; [1] ROOFTOP/pm=False/house,place	
LA RIOJA	coord	4102	Canale	Valle Viejo	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN FDO DEL VALLE DE CATAMARCA'	[0] GEOMETRIC_CENTER/pm=False/route	
LA RIOJA	coord	7709	Citrusvil S.A.	San Pedro de Guasayan	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SANTA ROSA'	[0] APPROXIMATE/pm=True/locality,political	
LA RIOJA	coord	5503	Pago Facil	Chango Mas Catamarca	DEJADO	ningún candidato ROOFTOP+match completo en localidad 'SAN FDO DEL VALLE DE CATAMARCA'	[0] GEOMETRIC_CENTER/pm=True/route	
MACARONE	coord	3058	Adecoagro	Franck - Santa Fe	DEJADO	ningún candidato ROOFTOP exacto en localidad 'FRANCK'	0:GEOMETRIC_CENTER/pm	Ruta Provincial 6, Franck, Municipio de Franck, Departamento Las Colonias, Santa Fe, 3009, Argentina
MACARONE	coord	3003	Adecoagro	San Joaquín	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
MACARONE	coord	5534	Banco Santander Río	PDV La Ribera	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
