prestador	siges_sucursal_id	empresa	sucursal	categoria	decision	lat	lon	fuente	motivo_mejor_indicio	metodo
PENTACOM	1045	Sancor Cooperativas Limitada	Villa Vaudagna	COORD_AMBIGUA	DEJADO				Gestión: Av. San Carlos 770, Colonia La Tordilla. OSM tiene la calle San Carlos en La Tordilla sin alturas (way/1287876143 y otros) y el paraje Villa Vaudagna (node/198436537, -31.26995,-63.0632552) a ~3 km del pueblo. Sin punto concreto.	
SUPERNOVA	10930	Nutrien	GALVEZ	PIN_ROTO	DEJADO				Gestión: Ruta Provincial 80 s/km; OSM solo devuelve la traza de RP80 (way/314355893, sin altura); web confirma agrocentro Nutrien sobre RP80 Gálvez pero sin km ni coordenadas	osm-direccion
BAHIA	10512	OCA	Bahía Blanca Postales	PIN_ROTO	DEJADO				Gestión: Ruta 3 km 697.3 (planta postal), sin altura; OSM solo tiene sucursales OCA urbanas (Pueyrredón 262 way/952137713, Chiclana 602 node/511382402) que no son la planta; web sin dato del km	osm-nombre
INFOMAC	11208	EDERSA S.A.	ESTACION TRANSFORMADORA LUIS BELTRAN	PIN_ROTO	DEJADO				"Gestión: ""EETT 1 km aprox de la rotonda"", sin calle; OSM sin estación transformadora/subestación ni EdERSA en Luis Beltrán; sin dato web"	osm-nombre
INFOMAC	11196	EDERSA S.A.	CERVANTES	PIN_ROTO	DEJADO				Chaco 144: OSM solo tiene la calle Chaco (way/849671434) sin numeración; sin POI EdERSA en Cervantes	osm-direccion
INFOMAC	10903	ISSN	Delegacion ISSN El Sauce	PIN_ROTO	DEJADO				"Localidad ""El Sauce"" ambigua: OSM tiene la comisión de fomento El Sauce (Picún Leufú, relation/3326576) y una calle El Sauce en Neuquén capital; ni Carrasquera ni Av. Salvatori aparecen en OSM; web ISSN confirma delegación El Sauce en obra (jun-2026) sin dirección"	osm-direccion
SUPERNOVA	6737	Banco Santander Río	Oficina de Transición de Sanford	COORD_AMBIGUA	DEJADO				"El ""Boulevard D'Aloisio"" es el Bv. Dr. Juan A. D'Aloisio de SANFORD (way/346952867), no de Casilda, y no tiene numeración en OSM; la sucursal Santander de Casilda está en Primero de Mayo 2060 (way/1021811223, -33.0451346 -61.1667042) pero no coincide con la dirección de Gestión"	osm-direccion
SUPERNOVA	5174	Celsur Logistica S.A.	Planta GM Rosario - Porteria Celsur	COORD_AMBIGUA	DEJADO				"OSM no tiene el polígono de la planta GM: solo el barrio ""General Motors"" de Alvear (relation/16341031, -33.0602241 -60.6210244) y ""Colectora Este RN9 km 278"" no geocodifica; sin punto concreto de la portería"	osm-nombre
SUPERNOVA	4780	Efectivo Si	EFECTIVO SI - Rosario II	COORD_AMBIGUA	DEJADO				Web (tiendeo/sucursales24) confirma Efectivo Sí en Av. San Martín 5239 Rosario, pero OSM no tiene esa altura (solo tramos de la avenida, GEOMETRIC_CENTER); el único Efectivo Sí en OSM es San Luis 1324 (way/304692541, otra sucursal)	web+osm
SUPERNOVA	3242	Nutrien	Sucursal Timbues	COORD_AMBIGUA	DEJADO				"""José Márquez 199"" no existe en OSM ni en Timbúes ni en San Lorenzo; sin POI Nutrien en Timbúes; web: Nutrien desinvirtió en 2024 y vendió los campos de Timbúes/Pto. Gral. San Martín a Molinos Agro"	osm-direccion
SUPERNOVA	5222	Quickfood S.A.	Arroyo Seco	COORD_AMBIGUA	DEJADO				Web (quickfood-marfig.com.ar) confirma planta Paty en Dr. Jonas Salk 945 Arroyo Seco, pero OSM solo tiene la calle Jonas Salk (way/73908018, way/543905821) sin altura ni polígono de la planta	web+osm
SUPERNOVA	8512	Quickfood S.A.	Pueblo Esther	COORD_AMBIGUA	DEJADO				OSM no tiene la calle Juan Bautista Alberdi en Pueblo Esther (solo el municipio, relation/14760169); guía local (clesape.com.ar) confirma que la dirección existe pero sin coordenadas	osm-direccion
SUPERNOVA	4887	Sancor Cooperativas Limitada	Hostal del Sol	COORD_AMBIGUA	DEJADO				"""Perú (A) 1169"" = Perú 1169 A, cuadra 1100 A de barrio Belgrano (OSM tiene Perú 1101 A node/5600732844 -32.9403717 -60.7113195 y 1101 B); sin el 1169 exacto ni POI SanCor en esa cuadra (los SanCor Salud de OSM están en Funes y Baigorria)"	osm-direccion
SUPERNOVA	8539	Solanas	Rosario II	COORD_AMBIGUA	DEJADO				"Gestión ""Madres de Plaza 25"" es la calle Madres de Plaza 25 de Mayo (Puerto Norte) sin altura; web: la oficina Solanas de Rosario publicada es Entre Ríos 729 piso 9 (sería Rosario I); Puerto Norte tiene torres de oficinas en el 3000/3020 pero sin confirmación de Solanas"	web+osm
INFOMAC	3785	Molino Cañuelas	Villa Mercedes	COORD_AMBIGUA	DEJADO				Web (argentino.com.ar) confirma Molino Cañuelas en Ruta 148 km 756 Villa Mercedes, pero OSM no tiene el molino (solo los de Cañuelas y Pigüé) ni el km sobre RN148	web+osm
MENDOZA	10515	Natura	Abigail Bittar	PIN_ROTO	DEJADO				OSM solo tiene calle Olite en San Rafael (way/545979990), sin altura 787; Gestion dice MENDOZA capital; sin punto concreto	osm-direccion
MENDOZA	10631	AMI MUSIC	A26 - DASH Mendoza	PIN_ROTO	DEJADO				Web confirma Dash Deportes en Paso de los Patos y Cnel. Moldes, Dorrego, Guaymallen (ar.latinoplaces.com/mendoza/dash-deportes-549883, 403 al fetch); OSM no tiene el local ni resuelve la esquina	web
SM TUCUMAN	9821	Citrusvil S.A.	Finca San Pablo	PIN_ROTO	DEJADO				Ruta 301 km 9 Ohuanta: OSM no tiene Ohuanta ni el km; web solo confirma que la finca esta sobre RP301 en Ohuanta (laizquierdadiario.com/Vecinos-de-Ohuanta-en-defensa-de-sus-viviendas-contra-Citrusvil)	web
SM TUCUMAN	7713	Citrusvil S.A.	Fca. Santo Domingo	PIN_ROTO	DEJADO				Ruta 334 km 26: OSM sin resultado; web no ubica la finca (citrusvil.com.ar solo da casa central Ruta 302 km 7 Cevil Pozo); pin previo era el centro de Argentina	web
SAN RAFAEL	8888	Pernod Ricard	Bodega Mumm (San Rafael)	PIN_ROTO	DEJADO				Web confirma Jensen esq. Sarmiento, Las Paredes (redargentina.com.ar/bodegas-mumm-F1A07C7001CD7); OSM tiene calle Jensen (way/295016509, -34.6018 -68.4178) pero no la bodega ni la esquina	web
MENDOZA	6004	Banco Santander Río	546 -Tunuyán	COORD_AMBIGUA	DEJADO				San Martin 1475 Tunuyan: OSM solo devuelve tramos de la calle (trunk) sin altura; sin POI del banco	osm-direccion
MENDOZA	3465	Cepas Argentinas	Viniterra	COORD_AMBIGUA	DEJADO				Web: Acceso Sur km 17,5 Lujan de Cuyo (argentino.com.ar/viniterra-catavinicola-F1207C10F1DD1, 403 al fetch); OSM no tiene la bodega, solo tramos de Acceso Sur	web
MENDOZA	3873	Galeno - COLONOS	Centro Medico Mendoza(NO USAR)	COORD_AMBIGUA	DEJADO				San Lorenzo 134: OSM no tiene altura en Guaymallen; hay San Lorenzo 134 en Ciudad de Mendoza (way/163705708) pero no coincide con la localidad de Gestion; sucursal marcada NO USAR	osm-direccion
MENDOZA	4455	Galeno - COLONOS	Guaymallen	COORD_AMBIGUA	DEJADO				Costanera 20 Guaymallen: OSM sin resultado; web no confirma esa direccion (Galeno Guaymallen figura en Las Heras 768 San Jose segun sucursales24)	web
MENDOZA	6395	Peñaflor	Navarro Correas - Agrelo	COORD_AMBIGUA	DEJADO				OSM solo tiene la bodega Navarro Correas historica en San Francisco del Monte, Guaymallen (way/298236453), no la de Agrelo Ruta 15 km 35	osm-nombre
SM TUCUMAN	4799	Efectivo Si	EFECTIVO SI - Tucuman II	COORD_AMBIGUA	DEJADO				24 de Septiembre 32 SMT: OSM devuelve el barrio o la calle entera (way/116233458) sin altura	osm-direccion
SM TUCUMAN	4048	Galeno - COLONOS	Sucursal Tucuman- ART	COORD_AMBIGUA	DEJADO				Dos Lavalle 741 en SMT: Barrio Sur (-26.8382792 -65.2103363, way/368845381) y Floresta (-26.8316586 -65.2465341, way/1120335441); web no confirma cual (Galeno Seguros figura en 24 de Septiembre 732)	osm-direccion
LA RIOJA	4102	Canale	Valle Viejo	COORD_AMBIGUA	DEJADO				Ruta 33 Valle Viejo: OSM sin POI Canale; web no encuentra planta Canale en Catamarca	web
LA RIOJA	7709	Citrusvil S.A.	San Pedro de Guasayan	COORD_AMBIGUA	DEJADO				Gestion dice Santa Rosa La Pampa (error); San Pedro de Guasayan es en Santiago del Estero (relation/2271170, centro de pueblo -27.9546 -65.1666); Ruta 157 km 1119 no localizable	osm-nombre
MDQ	11711	Extragas	Balcarce	PIN_ROTO	DEJADO				Web (argentino.com.ar, miguiaargentina) da Ruta 226 km 65.5/66, Balcarce; OSM no tiene la planta ni resuelve km. Pin roto = California.	
CHACO	10612	Natura	Valeria Angélica Soechting	PIN_ROTO	DEJADO				OSM solo tiene la calle 2 de Mayo (Eldorado, way 580278922) sin alturas; no hay altura 811 mapeada. Pin roto = Mendoza.	
MACARONE	4046	Galeno - COLONOS	Sucursal Santa Fe Capital- ART	COORD_AMBIGUA	DEJADO				Web confirma San Martín 1881, S3000 Santa Fe capital (ziglerseguros.com.ar, milruedas); OSM no tiene esa altura en Santa Fe ciudad (solo Coronda/Esperanza/Pérez/Reconquista). Geocodificar a mano con otro proveedor.	
CHACO	11573	Sika	Planta Chaco	PIN_ROTO	DEJADO				Planta nueva (inaug. 2025-10, chaco.gob.ar) en Puerto Tirol; ninguna nota da la dirección exacta. Mejor indicio: Parque Industrial Puerto Tirol sobre RN16, OSM way 669130354 (-27.367346, -59.062273), sin confirmación de que Sika esté ahí. Pin roto = California.	
MACARONE	5467	Sancor Cooperativas Limitada	Desvio Arijon	COORD_AMBIGUA	DEJADO				Ni web ni OSM tienen un SanCor en Desvío Arijón; solo la RN11 (candidatos GEOMETRIC_CENTER). Falta el km o el nombre del establecimiento.	
MACARONE	4191	Sancor Cooperativas Limitada	San Justo - STA FE	COORD_AMBIGUA	DEJADO				Gestión dice RN11 km 564.6 San Justo (provincia mal cargada: Buenos Aires). Web: km 564 es el Distrito Industrial y Productivo de San Justo (gimenezinmobiliaria.com.ar); no hay confirmación de SanCor ahí ni OSM lo tiene.	
MDQ	170	Fargo	Santa Teresita	COORD_AMBIGUA	DEJADO				RP11 km 323 Santa Teresita: web no encuentra depósito Fargo (YPF del acceso está en km 324.3, santateresita.com.ar); OSM solo da tramos de RP11 (GEOMETRIC_CENTER).	
MACARONE	6752	CCU	CD Sauce Viejo	PIN_ROTO	DEJADO				Web: Centro Logístico CCU/Cervecería Santa Fe sobre RN11 frente al Aeropuerto de Sauce Viejo, 10 ha (ellitoral.com); OSM no tiene el predio mapeado. Pin roto tenía lat/lon invertidas.	
CHIVILCOY	6782	Los Grobo Agropecuaria	Chivilcoy (Pastasole)	COORD_AMBIGUA	DEJADO				Web confirma planta Pastasole en RP30 km 88.5 Chivilcoy (larazondechivilcoy.com.ar; ficha wikimapia.org/30294211 no se pudo leer); OSM no resuelve el km ni tiene la planta.	
MACARONE	3058	Adecoagro	Franck - Santa Fe	COORD_AMBIGUA	DEJADO				Es el molino arrocero Molinos Ala / Pilagá-Adecoagro sobre RP6 en Franck (esinel.com.ar/portfolio/adecoagro-planta-franck, fmspacio.com); OSM no tiene el molino ni el km 48. Candidato previo era el centro de la RP6.	
MACARONE	3003	Adecoagro	San Joaquín	COORD_AMBIGUA	DEJADO				"Gestión solo dice ""Ruta Prov. Nro. 1"" y tabla_kms no tiene la fila. Web: arrocera de Adecoagro de ~10.000 ha en Colonia San Joaquín, Dpto. Garay, Santa Fe (ellitoral.com 2018); OSM tiene el paraje como hamlet node 198445320 (-30.755712, -59.998439), no un edificio."	
CHACO	11621	Musimundo	COLORADO	PIN_ROTO	DEJADO				Web confirma Av. San Martín 100, P3603 El Colorado (sucursales24/outletenargentina); OSM solo tiene la avenida (way 340130384) sin alturas ni el local. Pin roto = California.	
CHACO	11626	Musimundo	FORMOSA 3	PIN_ROTO	DEJADO				"Gestión: ""Manzana 27, Parcela 45, Formosa"" (dato catastral, no geocodificable). Web solo lista 2 locales en Formosa capital (Saavedra 263 y Av. 9 de Julio 670); no hay rastro de un tercero. Pin roto = California."	
SALTA	10269	Natura	Antonella Lucia Marconi	PIN_ROTO	DEJADO				Gestión solo da 'Barrio Tierra Mía, Atocha' sin calle/altura; OSM tiene el barrio como polígono residencial (way/1502906381, -24.8218 -65.4852), no un punto concreto	
SALTA	5474	Refinor	Piedras	PIN_ROTO	DEJADO				Refinor RN9 km 1471 Río de las Piedras: sin POI en OSM (Refinor/estación de servicio en Río Piedras sin resultados); web no da dirección ni coords; pueblo Río Piedras node/1478728207 (-25.3142 -64.9103) es solo referencia	
SALTA	11568	Citrusvil S.A.	FINCA DON BRUNO	PIN_ROTO	DEJADO				'B° San Cayetano MD Casa 12, Joaquín V. González': barrio no existe en OSM; web sin datos de Finca Don Bruno/Citrusvil en JVG; solo municipio relation/7235783	
TUCUMAN	2085	Salta Refrescos (Región Norte)	San Miguel de Tucumán	PIN_ROTO	DEJADO				'Ruta 38 km 1541 SMT' (ex Compañía Tucumana de Refrescos): RN38 actual pasa a ~5 km; el único predio Salta Refrescos en OSM es way/1017236337 (-26.8367 -65.2641, RP301) ya asignado a la suc. Lules (3792); podría ser el mismo predio pero no se pudo confirmar	
TUCUMAN	8051	Telecom Argentina	Centro Distribución Tucuman	PIN_ROTO	DEJADO				Belgrano 760, El Manantial: OSM solo tiene la calle Manuel Belgrano (way/95947129) sin numeración; web sin sucursal Telecom en El Manantial	
JUJUY	5476	Refinor	Lavayen	PIN_ROTO	DEJADO				RP1 Paraje Santa Rita, Lavayén: OSM solo tiene el paraje Lavayén (node/198396636, -24.4611 -64.8533) y ríos; ninguna estación Refinor mapeada; web sin datos	
JUJUY	10597	TRANS G.O.L.	Central	PIN_ROTO	DEJADO				Web confirma Trans G.O.L. en Ruta 42 km 36, Monterrico (linkedin/cylex) pero sin coords; OSM tiene RP42 solo como tramos de ruta (way/877292171 etc.), sin km identificable	
JUJUY	10805	Manpower	Isaac Rios	PIN_ROTO	DEJADO				Sixto Ovejero 422, Libertador Gral San Martín: OSM solo tiene la calle (way/180365609) sin numeración; sin POI Manpower	
SALTA	5473	Refinor	Urundel	COORD_AMBIGUA	DEJADO				RN34 km 1297 Urundel: OSM solo tramos de RN34 en Municipio de Urundel (way/203950118 -23.5206 -64.4110), sin estación Refinor mapeada; web sin dirección precisa	
CORRIENTES	8211	Efectivo Si	EFECTIVO SI - Hiper Libertad Resistencia	COORD_AMBIGUA	DEJADO				Web: ex Hiper Libertad = Colectora RN16 (Av. Nicolás Avellaneda) y Av. Sabín, Resistencia (hoy Cuchermercados); OSM no tiene el hiper mapeado, solo Av. Sabín (way/459682559 -27.4295 -58.9795); >6 consultas	
TUCUMAN	1570	La Sevillanita	Tucuman	COORD_AMBIGUA	DEJADO				Web (dnb/waze): Autopista Juan Domingo Perón s/n (camino al aeropuerto), Alderetes; OSM no tiene la autopista ni el POI; foursquare sin acceso	
TUCUMAN	3815	Molino Cañuelas	Planta Tucumán  - SUC CERRADA	COORD_AMBIGUA	DEJADO				Web: planta cerrada 2018 en Ruta 302 km 6, Banda del Río Salí (Cruz Alta); OSM sin POI ni km identificable	
